title,rus_title,kz_title,city_from,pop_1979,pop_1989,pop_1999,pop_2009,pop_2014,pop_2019,status,region,area,altitude,timezone,zipcode,current_pop,lat,lon
Каркаралинск,Каркаралинск,Қарқаралы,1868,,,8773.0,9212.0,8633.0,8185.0,4,Карагандинская область,,815.0,UTC+6:00,100800[2],8190.0,49.40583,75.47417
Каскелен,Каскелен,Қаскелең,1963,,,37221.0,58418.0,64416.0,64517.0,4,Алматинская область,,,UTC+6:00,"040900, 040901, 040902, 040903, 040904",64529.0,43.20028,76.62222
Кентау,Кентау,Кентау,1955,62991.0,63784.0,55521.0,57121.0,64682.0,68954.0,4,Туркестанская область,71.04,,UTC+6:00,"160405, 160401",68669.0,43.51694,68.50444
Кокшетау,Кокшетау,Көкшетау,1832,103162.0,135424.0,123389.0,135106.0,141396.0,145156.0,2,Акмолинская область,233.97,234.0,UTC+6:00,020000—020010,146104.0,53.29167,69.39167
Костанай,Костанай,Қостанай,1893,164500.0,223558.0,222816.0,214961.0,225464.0,242997.0,2,Костанайская область,247.0,157.0,UTC+6:00,110000[4],250907.0,53.219333,63.634194
Кульсары,Кулсары,Құлсары,2001,,,38518.0,51097.0,55742.0,60472.0,4,Атырауская область,,,UTC+5:00,060100—060103,60472.0,46.98333,54.01667
Курчатов,Курчатов,Курчатов,1948,10836.0,16300.0,9305.0,10127.0,11810.0,12411.0,3,Восточно-Казахстанская область,110.0,,UTC+6:00,071100,12408.0,50.75667,78.54
Кызылорда,Кызылорда,Қызылорда,1867,156128.0,150425.0,157364.0,188682.0,218300.0,239042.0,2,Кызылординская область,240.0,128.0,UTC+5:00,120000,242462.0,44.85,65.51667
Ленгер,Ленгер,Леңгір,1945,,,22038.0,24642.0,24302.0,24025.0,4,Туркестанская область,20.47,,UTC+6:00,161100 — 161102,24045.0,42.18194,69.88778
Лисаковск,Лисаковск,Лисаковск,1971,,33400.0,35161.0,36622.0,36848.0,36008.0,4,Костанайская область,100.0,,UTC+6:00,111200,36011.0,52.53694,62.49361
